name,age,market_value_est,club,league_country
Teja Paku Alam,14 Mar 1994 (31),"Rp4,35Mlyr.",PERSIB Bandung,Unknown League
Adam Przybek,2 Apr 2000 (25),"Rp1,74Mlyr.",PERSIB Bandung,Unknown League
Fitrah Maulana,24 Mei 2006 (19),"Rp434,54Jt.",PERSIB Bandung,Unknown League
Rhaka Syafaka,11 Feb 2008 (17),-,PERSIB Bandung,Unknown League
Federico Barba,1 Sep 1993 (32),"Rp8,69Mlyr.",PERSIB Bandung,Unknown League
Patricio Matricardi,7 Jan 1994 (32),"Rp6,95Mlyr.",PERSIB Bandung,Unknown League
Frans Putros,14 Jul 1993 (32),"Rp6,08Mlyr.",PERSIB Bandung,Unknown League
Júlio César,21 Mar 1995 (30),"Rp5,21Mlyr.",PERSIB Bandung,Unknown League
Kakang Rudianto,2 Feb 2003 (22),"Rp3,91Mlyr.",PERSIB Bandung,Unknown League
Achmad Jufriyanto,7 Feb 1987 (38),"Rp173,82Jt.",PERSIB Bandung,Unknown League
Dion Markx,29 Jun 2005 (20),-,PERSIB Bandung,Unknown League
Layvin Kurzawa,4 Sep 1992 (33),"Rp13,04Mlyr.",PERSIB Bandung,Unknown League
Kevin Pasha,15 Jan 2007 (19),-,PERSIB Bandung,Unknown League
Zulkifli Lukmansyah,8 Sep 2006 (19),-,PERSIB Bandung,Unknown League
Thom Haye,9 Feb 1995 (30),"Rp17,38Mlyr.",PERSIB Bandung,Unknown League
Alfeandra Dewangga,28 Jun 2001 (24),"Rp3,91Mlyr.",PERSIB Bandung,Unknown League
Robi Darwis,2 Agt 2003 (22),"Rp2,61Mlyr.",PERSIB Bandung,Unknown League
Dedi Kusnandar,23 Jul 1991 (34),"Rp1,74Mlyr.",PERSIB Bandung,Unknown League
Marc Klok,20 Apr 1993 (32),"Rp6,95Mlyr.",PERSIB Bandung,Unknown League
Adam Alis,19 Des 1993 (32),"Rp4,78Mlyr.",PERSIB Bandung,Unknown League
Abdul Aziz,14 Feb 1994 (31),"Rp869,08Jt.",PERSIB Bandung,Unknown League
Nazriel Alfaro,1 Feb 2008 (17),"Rp434,54Jt.",PERSIB Bandung,Unknown League
Berguinho,18 Feb 1997 (28),"Rp4,35Mlyr.",PERSIB Bandung,Unknown League
Luciano Guaycochea,24 Apr 1992 (33),"Rp3,91Mlyr.",PERSIB Bandung,Unknown League
Saddil Ramdani,2 Jan 1999 (27),"Rp5,65Mlyr.",PERSIB Bandung,Unknown League
Eliano Reijnders,23 Okt 2000 (25),"Rp10,43Mlyr.",PERSIB Bandung,Unknown League
Beckham Putra,29 Okt 2001 (24),"Rp6,08Mlyr.",PERSIB Bandung,Unknown League
Febri Hariyadi,19 Feb 1996 (29),"Rp1,74Mlyr.",PERSIB Bandung,Unknown League
Athaya Zahran,22 Jan 2006 (20),-,PERSIB Bandung,Unknown League
Andrew Jung,8 Okt 1997 (28),"Rp8,69Mlyr.",PERSIB Bandung,Unknown League
Uilliam,11 Okt 1994 (31),"Rp4,35Mlyr.",PERSIB Bandung,Unknown League
Ramon Tanque,10 Sep 1998 (27),"Rp3,91Mlyr.",PERSIB Bandung,Unknown League
Andritany,26 Des 1991 (34),"Rp2,61Mlyr.",Persija Jakarta,Unknown League
Carlos Eduardo,24 Feb 1992 (33),"Rp1,30Mlyr.",Persija Jakarta,Unknown League
Hafizh Rizkianur,8 Agt 2006 (19),-,Persija Jakarta,Unknown League
Irham Nadzhofa,11 Feb 2007 (18),-,Persija Jakarta,Unknown League
Rizky Ridho,21 Nov 2001 (24),"Rp11,30Mlyr.",Persija Jakarta,Unknown League
Jordi Amat,21 Mar 1992 (33),"Rp10,43Mlyr.",Persija Jakarta,Unknown League
Paulo Ricardo,13 Jul 1994 (31),"Rp5,21Mlyr.",Persija Jakarta,Unknown League
Thales Lira,6 Apr 1993 (32),"Rp4,78Mlyr.",Persija Jakarta,Unknown League
Dia Syayid,12 Des 2004 (21),"Rp869,08Jt.",Persija Jakarta,Unknown League
Baihaqi Rifai,29 Jul 2006 (19),-,Persija Jakarta,Unknown League
Shayne Pattynama,11 Agt 1998 (27),"Rp6,08Mlyr.",Persija Jakarta,Unknown League
Fajar Fathurrahman,29 Mei 2002 (23),"Rp6,08Mlyr.",Persija Jakarta,Unknown League
Sousa,27 Nov 1994 (31),"Rp4,35Mlyr.",Persija Jakarta,Unknown League
Hanif Sjahbandi,7 Apr 1997 (28),"Rp4,35Mlyr.",Persija Jakarta,Unknown League
Fábio Silva,24 Jul 1997 (28),"Rp4,35Mlyr.",Persija Jakarta,Unknown League
Aditya Warman,2 Feb 2005 (20),"Rp434,54Jt.",Persija Jakarta,Unknown League
Ryo Matsumura,15 Jun 1994 (31),"Rp5,21Mlyr.",Persija Jakarta,Unknown League
Rayhan Hannan,2 Apr 2004 (21),"Rp2,61Mlyr.",Persija Jakarta,Unknown League
Maxwell,11 Feb 1995 (30),"Rp8,69Mlyr.",Persija Jakarta,Unknown League
Witan,8 Okt 2001 (24),"Rp5,21Mlyr.",Persija Jakarta,Unknown League
Dony Tri Pamungkas,11 Jan 2005 (21),"Rp3,48Mlyr.",Persija Jakarta,Unknown League
Arlyansyah Abdulmanan,20 Des 2005 (20),"Rp1,30Mlyr.",Persija Jakarta,Unknown League
Allano,24 Apr 1995 (30),"Rp6,95Mlyr.",Persija Jakarta,Unknown League
Bruno Tubarão,5 Mar 1995 (30),"Rp6,95Mlyr.",Persija Jakarta,Unknown League
Zahaby Gholy,5 Des 2008 (17),-,Persija Jakarta,Unknown League
Alaeddine Ajaraie,5 Jan 1993 (33),"Rp6,08Mlyr.",Persija Jakarta,Unknown League
Gustavo,25 Jul 1996 (29),"Rp5,21Mlyr.",Persija Jakarta,Unknown League
Eksel Runtukahu,2 Sep 1998 (27),"Rp3,48Mlyr.",Persija Jakarta,Unknown League
Mike Hauptmeijer,18 Mar 1997 (28),"Rp3,48Mlyr.",Bali United FC,Unknown League
Fitrul Rustapa,5 Jun 1995 (30),"Rp2,17Mlyr.",Bali United FC,Unknown League
Dikri Yusron,8 Jan 1995 (31),"Rp1,30Mlyr.",Bali United FC,Unknown League
Wayan Arta,1 Okt 2006 (19),"Rp173,82Jt.",Bali United FC,Unknown League
Kadek Arel,4 Apr 2005 (20),"Rp4,35Mlyr.",Bali United FC,Unknown League
João Ferrari,25 Jun 1997 (28),"Rp2,61Mlyr.",Bali United FC,Unknown League
Bagas Adi,8 Mar 1997 (28),"Rp1,74Mlyr.",Bali United FC,Unknown League
Putu Panji,2 Apr 2008 (17),-,Bali United FC,Unknown League
Ricky Fajrin,6 Sep 1995 (30),"Rp5,65Mlyr.",Bali United FC,Unknown League
Yusuf Meilana,4 Mei 1998 (27),"Rp3,48Mlyr.",Bali United FC,Unknown League
Agus Mahendra,1 Jun 2002 (23),"Rp434,54Jt.",Bali United FC,Unknown League
Made Andhika,12 Jul 1996 (29),"Rp4,35Mlyr.",Bali United FC,Unknown League
Rizky Dwi,22 Feb 1997 (28),"Rp3,04Mlyr.",Bali United FC,Unknown League
Brandon Wilson,28 Jan 1997 (29),"Rp4,78Mlyr.",Bali United FC,Unknown League
Made Tito,31 Jul 2003 (22),"Rp2,17Mlyr.",Bali United FC,Unknown League
Tim Receveur,30 Jul 1991 (34),"Rp1,74Mlyr.",Bali United FC,Unknown League
Reyner Barusu,27 Des 2005 (20),-,Bali United FC,Unknown League
Kadek Agung,25 Jun 1998 (27),"Rp3,91Mlyr.",Bali United FC,Unknown League
Teppei Yachida,1 Nov 2001 (24),"Rp10,43Mlyr.",Bali United FC,Unknown League
Jordy Bruijn,23 Jul 1996 (29),"Rp5,21Mlyr.",Bali United FC,Unknown League
Mirza Mustafic,20 Jun 1998 (27),"Rp5,21Mlyr.",Bali United FC,Unknown League
Maouri Simon,9 Nov 2006 (19),"Rp869,08Jt.",Bali United FC,Unknown League
Diego Campos,1 Okt 1995 (30),"Rp10,43Mlyr.",Bali United FC,Unknown League
Rahmat,28 Mei 1988 (37),"Rp173,82Jt.",Bali United FC,Unknown League
Thijmen Goppel,16 Feb 1997 (28),"Rp10,43Mlyr.",Bali United FC,Unknown League
Irfan Jaya,1 Mei 1996 (29),"Rp3,91Mlyr.",Bali United FC,Unknown League
Rahmat Arjuna,30 Apr 2004 (21),"Rp2,61Mlyr.",Bali United FC,Unknown League
Nathan Ari,3 Agt 2006 (19),-,Bali United FC,Unknown League
Boris Kopitovic,27 Apr 1995 (30),"Rp4,78Mlyr.",Bali United FC,Unknown League
Jens Raven,12 Okt 2005 (20),"Rp1,30Mlyr.",Bali United FC,Unknown League
Sonny Stevens,22 Jun 1992 (33),"Rp5,21Mlyr.",Dewa United Banten FC,Unknown League
Muhammad Natshir,13 Feb 1993 (32),"Rp1,30Mlyr.",Dewa United Banten FC,Unknown League
Yofandani Pranata,9 Apr 2001 (24),"Rp434,54Jt.",Dewa United Banten FC,Unknown League
Dafa Al Gasemi,12 Feb 2008 (17),-,Dewa United Banten FC,Unknown League
Nick Kuipers,8 Okt 1992 (33),"Rp4,35Mlyr.",Dewa United Banten FC,Unknown League
Wahyu Prasetyo,21 Mar 1998 (27),"Rp4,35Mlyr.",Dewa United Banten FC,Unknown League
Cássio Scheid,3 Jan 1994 (32),"Rp4,35Mlyr.",Dewa United Banten FC,Unknown League
Brian Fatari,20 Des 1999 (26),"Rp2,17Mlyr.",Dewa United Banten FC,Unknown League
Edo Febriansyah,25 Jul 1997 (28),"Rp4,78Mlyr.",Dewa United Banten FC,Unknown League
Alta Ballah,30 Des 2000 (25),"Rp3,91Mlyr.",Dewa United Banten FC,Unknown League
Johnathan,4 Apr 1995 (30),"Rp6,08Mlyr.",Dewa United Banten FC,Unknown League
Ady Setiawan,10 Sep 1994 (31),"Rp1,74Mlyr.",Dewa United Banten FC,Unknown League
Rizdjar Nurviat,2 Jan 2006 (20),"Rp1,30Mlyr.",Dewa United Banten FC,Unknown League
Theo Numberi,1 Sep 2001 (24),"Rp1,30Mlyr.",Dewa United Banten FC,Unknown League
Alexis Messidoro,13 Mei 1997 (28),"Rp6,95Mlyr.",Dewa United Banten FC,Unknown League
Jajá,18 Mar 1995 (30),"Rp6,52Mlyr.",Dewa United Banten FC,Unknown League
Kafiatur Rizky,17 Jul 2006 (19),"Rp434,54Jt.",Dewa United Banten FC,Unknown League
Ricky Kambuaya,5 Mei 1996 (29),"Rp5,65Mlyr.",Dewa United Banten FC,Unknown League
Rangga Muslim,13 Mei 1994 (31),"Rp869,08Jt.",Dewa United Banten FC,Unknown League
Noah Sadaoui,14 Sep 1993 (32),"Rp10,43Mlyr.",Dewa United Banten FC,Unknown League
Taisei Marukawa,30 Jan 1997 (29),"Rp5,21Mlyr.",Dewa United Banten FC,Unknown League
Stefano Lilipaly,10 Jan 1990 (36),"Rp3,48Mlyr.",Dewa United Banten FC,Unknown League
Rafael Struick,27 Mar 2003 (22),"Rp2,61Mlyr.",Dewa United Banten FC,Unknown League
Egy Maulana Vikri,7 Jul 2000 (25),"Rp5,65Mlyr.",Dewa United Banten FC,Unknown League
Vico,3 Des 1996 (29),"Rp1,74Mlyr.",Dewa United Banten FC,Unknown League
Alex Martins,8 Jul 1993 (32),"Rp5,65Mlyr.",Dewa United Banten FC,Unknown League
Septian Bagaskara,26 Sep 1997 (28),"Rp3,48Mlyr.",Dewa United Banten FC,Unknown League
Hilmansyah,25 Mei 1997 (28),"Rp3,48Mlyr.",PSM Makassar,Unknown League
Reza Arya,18 Mei 2000 (25),"Rp2,61Mlyr.",PSM Makassar,Unknown League
Poetro Negoro,4 Okt 2007 (18),-,PSM Makassar,Unknown League
Agus Al Faris,19 Agt 2008 (17),-,PSM Makassar,Unknown League
Yuran Fernandes,19 Okt 1994 (31),"Rp6,95Mlyr.",PSM Makassar,Unknown League
Aloísio Neto,16 Agt 1997 (28),"Rp5,21Mlyr.",PSM Makassar,Unknown League
Syahrul Lasinari,24 Des 1999 (26),"Rp3,48Mlyr.",PSM Makassar,Unknown League
Daffa Salman,30 Apr 2002 (23),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Jamil Al Rahman,13 Jan 2007 (19),-,PSM Makassar,Unknown League
Victor Luiz,5 Des 1997 (28),"Rp6,08Mlyr.",PSM Makassar,Unknown League
Mufli Hidayat,7 Agt 2005 (20),"Rp869,08Jt.",PSM Makassar,Unknown League
Akbar Tanjung,16 Mei 1993 (32),"Rp3,91Mlyr.",PSM Makassar,Unknown League
Ananda Raehan,17 Des 2003 (22),"Rp3,04Mlyr.",PSM Makassar,Unknown League
Muhammad Arfan,22 Jan 1998 (28),"Rp2,61Mlyr.",PSM Makassar,Unknown League
Rifky Dwi Septiawan,3 Feb 2002 (23),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Gledson,18 Mei 1995 (30),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Resky Fandi,6 Sep 1999 (26),"Rp1,30Mlyr.",PSM Makassar,Unknown League
Rasyid Bakri,17 Jan 1991 (35),"Rp869,08Jt.",PSM Makassar,Unknown League
Sávio Roberto,30 Apr 1996 (29),"Rp6,08Mlyr.",PSM Makassar,Unknown League
Daisuke Sakai,18 Jan 1997 (29),"Rp4,35Mlyr.",PSM Makassar,Unknown League
Fahrul Aditia,26 Jun 2003 (22),"Rp1,30Mlyr.",PSM Makassar,Unknown League
Rizky Eka Pratama,24 Des 1999 (26),"Rp3,48Mlyr.",PSM Makassar,Unknown League
Victor Dethan,11 Jul 2004 (21),"Rp3,91Mlyr.",PSM Makassar,Unknown League
Abdul Rahman,1 Agt 2002 (23),"Rp2,17Mlyr.",PSM Makassar,Unknown League
Dzaky Asraf,6 Feb 2003 (22),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Gala Pagamo,11 Agt 2006 (19),"Rp869,08Jt.",PSM Makassar,Unknown League
Muh Fahrul,1 Apr 2008 (17),-,PSM Makassar,Unknown League
Luka Cumic,25 Mei 2001 (24),"Rp6,08Mlyr.",PSM Makassar,Unknown League
Alex Tanque,14 Apr 1994 (31),"Rp5,65Mlyr.",PSM Makassar,Unknown League
Abu Razard Kamara,1 Apr 1997 (28),"Rp4,35Mlyr.",PSM Makassar,Unknown League
Ricky Pratama,6 Mei 2003 (22),"Rp2,61Mlyr.",PSM Makassar,Unknown League
Jacques Thémopelé,8 Feb 1998 (27),"Rp2,17Mlyr.",PSM Makassar,Unknown League
Nadeo Argawinata,9 Mar 1997 (28),"Rp6,95Mlyr.",Borneo FC Samarinda,Unknown League
Syahrul Trisna,26 Nov 1995 (30),"Rp2,61Mlyr.",Borneo FC Samarinda,Unknown League
Daffa Fasya,7 Mei 2004 (21),"Rp1,74Mlyr.",Borneo FC Samarinda,Unknown League
Andhika Setiawan,27 Jan 2006 (20),-,Borneo FC Samarinda,Unknown League
Cleylton,19 Mar 1993 (32),"Rp3,91Mlyr.",Borneo FC Samarinda,Unknown League
Komang Teguh,28 Apr 2002 (23),"Rp3,48Mlyr.",Borneo FC Samarinda,Unknown League
Mohammad Al-Husseini,18 Des 2002 (23),"Rp3,04Mlyr.",Borneo FC Samarinda,Unknown League
Caxambu,23 Jan 1997 (29),"Rp4,35Mlyr.",Borneo FC Samarinda,Unknown League
Ardi Idrus,22 Jan 1993 (33),"Rp2,61Mlyr.",Borneo FC Samarinda,Unknown League
Rayhan Utina,8 Agt 2004 (21),"Rp869,08Jt.",Borneo FC Samarinda,Unknown League
Alfharezzi Buffon,28 Apr 2006 (19),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Diego Michiels,8 Agt 1990 (35),"Rp869,08Jt.",Borneo FC Samarinda,Unknown League
Dika Kuswardani,5 Mar 2003 (22),"Rp434,54Jt.",Borneo FC Samarinda,Unknown League
Christophe Nduwarugira,22 Jun 1994 (31),"Rp6,08Mlyr.",Borneo FC Samarinda,Unknown League
Rivaldo Pakpahan,20 Jan 2003 (23),"Rp3,04Mlyr.",Borneo FC Samarinda,Unknown League
Ahmad Agung,9 Mar 1996 (29),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Kei Hirose,20 Nov 1995 (30),"Rp6,95Mlyr.",Borneo FC Samarinda,Unknown League
Juan Felipe Villa,10 Okt 1999 (26),"Rp8,69Mlyr.",Borneo FC Samarinda,Unknown League
Marcos Astina,21 Jan 1996 (30),"Rp4,35Mlyr.",Borneo FC Samarinda,Unknown League
Ikhsanul Zikrak,8 Nov 2002 (23),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Dwiky Hardiansyah,19 Apr 2004 (21),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Tegar Islami,6 Feb 2006 (19),-,Borneo FC Samarinda,Unknown League
Muhammad Sihran,8 Mar 1999 (26),"Rp3,91Mlyr.",Borneo FC Samarinda,Unknown League
Redzuan Fachgi,8 Mar 2005 (20),"Rp173,82Jt.",Borneo FC Samarinda,Unknown League
Kaio Nunes,11 Jan 1996 (30),-,Borneo FC Samarinda,Unknown League
Mariano Peralta,20 Feb 1998 (27),"Rp10,43Mlyr.",Borneo FC Samarinda,Unknown League
Koldo Obieta,8 Okt 1993 (32),"Rp2,61Mlyr.",Borneo FC Samarinda,Unknown League
Mohammad Khanafi,30 Nov 1997 (28),"Rp1,74Mlyr.",Borneo FC Samarinda,Unknown League
Habibi Jusuf,5 Agt 1998 (27),"Rp1,30Mlyr.",Borneo FC Samarinda,Unknown League
Ousmane Camara,4 Okt 2007 (18),-,Borneo FC Samarinda,Unknown League
Dika Nurdiansyah,27 Okt 2007 (18),-,Borneo FC Samarinda,Unknown League
Cahya Supriadi,11 Feb 2003 (22),"Rp3,91Mlyr.",PSIM Yogyakarta,Unknown League
Harlan Suardi,26 Jan 1999 (27),"Rp2,61Mlyr.",PSIM Yogyakarta,Unknown League
Khairul Fikri,24 Feb 2003 (22),"Rp869,08Jt.",PSIM Yogyakarta,Unknown League
Gilang Ardha,14 Mar 2006 (19),-,PSIM Yogyakarta,Unknown League
Franco Ramos Mingo,18 Sep 1997 (28),"Rp6,08Mlyr.",PSIM Yogyakarta,Unknown League
