name,age,market_value_est,club,league_country
Mario Jardel,7 Nov 2000 (25),"Rp3,04Mlyr.",Persita Tangerang,Unknown League
Zalnando,25 Des 1996 (29),"Rp1,74Mlyr.",Persita Tangerang,Unknown League
Muhammad Toha,30 Jun 1997 (28),"Rp5,21Mlyr.",Persita Tangerang,Unknown League
Fairuz Ohorella,17 Mar 2002 (23),-,Persita Tangerang,Unknown League
Sin-young Bae,11 Jun 1992 (33),"Rp3,04Mlyr.",Persita Tangerang,Unknown League
Badrian Ilham,11 Jun 2002 (23),"Rp1,30Mlyr.",Persita Tangerang,Unknown League
Ahmad Fahd,16 Des 2003 (22),"Rp869,08Jt.",Persita Tangerang,Unknown League
Andrean Rindorindo,2 Mei 2004 (21),"Rp869,08Jt.",Persita Tangerang,Unknown League
Pablo Ganet,4 Nov 1994 (31),"Rp5,21Mlyr.",Persita Tangerang,Unknown League
Ramón Bueno,7 Feb 1995 (30),"Rp2,61Mlyr.",Persita Tangerang,Unknown League
Éber Bessa,21 Mar 1992 (33),"Rp1,74Mlyr.",Persita Tangerang,Unknown League
Jack Brown,2 Nov 2001 (24),"Rp869,08Jt.",Persita Tangerang,Unknown League
Aleksa Andrejic,24 Jan 1993 (33),"Rp2,61Mlyr.",Persita Tangerang,Unknown League
Esal Sahrul,14 Mar 2002 (23),"Rp1,74Mlyr.",Persita Tangerang,Unknown League
Yardan Yafi,15 Jan 2004 (22),"Rp1,30Mlyr.",Persita Tangerang,Unknown League
Evan Tuhuteru,9 Jul 2006 (19),-,Persita Tangerang,Unknown League
Cois Artomoro,2 Apr 2003 (22),-,Persita Tangerang,Unknown League
Andriano Saputra,3 Mar 2004 (21),-,Persita Tangerang,Unknown League
Rayco Rodríguez,24 Nov 1996 (29),"Rp6,08Mlyr.",Persita Tangerang,Unknown League
Dafiq Firdaus,28 Apr 2004 (21),-,Persita Tangerang,Unknown League
Hokky Caraka,21 Agt 2004 (21),"Rp3,48Mlyr.",Persita Tangerang,Unknown League
Ahmad Nur Hardianto,6 Mar 1995 (30),"Rp2,61Mlyr.",Persita Tangerang,Unknown League
Dejan Racic,15 Jul 1998 (27),"Rp2,61Mlyr.",Persita Tangerang,Unknown League
Matheus Alves,19 Mei 1993 (32),"Rp2,17Mlyr.",Persita Tangerang,Unknown League
Adi Satryo,7 Jul 2001 (24),"Rp3,91Mlyr.",Arema FC,Unknown League
Gianluca Pandeynuwu,9 Nov 1997 (28),"Rp2,61Mlyr.",Arema FC,Unknown League
Lucas Frigeri,15 Jun 1989 (36),"Rp869,08Jt.",Arema FC,Unknown League
Andrian Casvari,30 Jun 1999 (26),"Rp173,82Jt.",Arema FC,Unknown League
Hansamu Yama,16 Jan 1995 (31),"Rp2,61Mlyr.",Arema FC,Unknown League
Luiz Gustavo,12 Feb 1994 (31),"Rp2,17Mlyr.",Arema FC,Unknown League
Anwar Rifai,23 Jan 2001 (25),"Rp1,30Mlyr.",Arema FC,Unknown League
Odivan,12 Jan 1999 (27),"Rp869,08Jt.",Arema FC,Unknown League
Iksan Lestaluhu,13 Okt 2003 (22),"Rp1,30Mlyr.",Arema FC,Unknown League
Johan Alfarizi,25 Mei 1990 (35),"Rp173,82Jt.",Arema FC,Unknown League
Rio Fahmi,6 Okt 2001 (24),"Rp5,21Mlyr.",Arema FC,Unknown League
Achmad Maulana,24 Apr 2003 (22),"Rp3,04Mlyr.",Arema FC,Unknown League
Rifad Marasabessy,7 Jul 1999 (26),"Rp1,74Mlyr.",Arema FC,Unknown League
Bayu Setiawan,27 Des 1998 (27),"Rp1,30Mlyr.",Arema FC,Unknown League
Alfiansyah,29 Okt 2003 (22),-,Arema FC,Unknown League
Matheus Blade,15 Mei 1997 (28),"Rp3,04Mlyr.",Arema FC,Unknown League
Pablo Oliveira,24 Mei 1995 (30),"Rp1,74Mlyr.",Arema FC,Unknown League
Betinho,4 Apr 1992 (33),"Rp1,74Mlyr.",Arema FC,Unknown League
Jayus Hariono,27 Jan 1997 (29),"Rp1,30Mlyr.",Arema FC,Unknown League
Aswin,10 Mei 2003 (22),-,Arema FC,Unknown League
Arkhan Fikri,28 Des 2004 (21),"Rp4,78Mlyr.",Arema FC,Unknown League
Julián Guevara,4 Mei 1992 (33),"Rp2,17Mlyr.",Arema FC,Unknown League
Samuel Balinsa,8 Mar 1999 (26),"Rp1,30Mlyr.",Arema FC,Unknown League
Gustavo França,24 Apr 1998 (27),"Rp4,78Mlyr.",Arema FC,Unknown League
Valdeci,26 Mar 1995 (30),"Rp4,35Mlyr.",Arema FC,Unknown League
Gabriel Silva,8 Apr 1997 (28),"Rp3,91Mlyr.",Arema FC,Unknown League
Salim Tuharea,13 Feb 2004 (21),"Rp2,17Mlyr.",Arema FC,Unknown League
Dwiki Mardiyanto,21 Mar 2000 (25),"Rp1,30Mlyr.",Arema FC,Unknown League
Fikri Arjidan,8 Feb 2004 (21),"Rp434,54Jt.",Arema FC,Unknown League
Dendi Santoso,16 Mei 1990 (35),"Rp434,54Jt.",Arema FC,Unknown League
Dalberto,15 Sep 1994 (31),"Rp5,21Mlyr.",Arema FC,Unknown League
Joel Vinícius,25 Nov 1994 (31),"Rp2,61Mlyr.",Arema FC,Unknown League
Dedik Setiawan,27 Jun 1994 (31),"Rp2,17Mlyr.",Arema FC,Unknown League
Razzaa Fachrezi,4 Jun 2004 (21),-,Arema FC,Unknown League
Agusti Ardiansyah,8 Agt 2007 (18),-,Arema FC,Unknown League
Dimas Aryaguna,9 Agt 2005 (20),-,Arema FC,Unknown League
Arthur Augusto,29 Agt 1999 (26),"Rp3,91Mlyr.",Semen Padang FC,Unknown League
Rendy Oscario,7 Okt 1998 (27),"Rp1,30Mlyr.",Semen Padang FC,Unknown League
Teguh Amiruddin,13 Agt 1993 (32),"Rp869,08Jt.",Semen Padang FC,Unknown League
Farel Putra,16 Agt 2007 (18),"Rp173,82Jt.",Semen Padang FC,Unknown League
Iqbal Bachtiar,2 Mei 1998 (27),-,Semen Padang FC,Unknown League
Ângelo Meneses,3 Jul 1993 (32),"Rp4,35Mlyr.",Semen Padang FC,Unknown League
Jaime Giraldo,8 Feb 1998 (27),"Rp3,48Mlyr.",Semen Padang FC,Unknown League
Tin Martic,27 Mar 1996 (29),"Rp2,61Mlyr.",Semen Padang FC,Unknown League
Rui Rampa,6 Sep 1992 (33),"Rp1,30Mlyr.",Semen Padang FC,Unknown League
Asyraq Gufron,9 Feb 1996 (29),-,Semen Padang FC,Unknown League
Leo Guntara,17 Agt 1994 (31),"Rp3,48Mlyr.",Semen Padang FC,Unknown League
Samuel Simanjuntak,31 Jul 1999 (26),"Rp1,30Mlyr.",Semen Padang FC,Unknown League
Ravy Tsouka,23 Des 1994 (31),"Rp5,21Mlyr.",Semen Padang FC,Unknown League
Zidane Afandi,25 Feb 2002 (23),"Rp869,08Jt.",Semen Padang FC,Unknown League
Ghifari Azhhari,15 Sep 2007 (18),-,Semen Padang FC,Unknown League
Boubakary Diarra,30 Agt 1993 (32),"Rp4,35Mlyr.",Semen Padang FC,Unknown League
Rosad Setiawan,9 Agt 1996 (29),"Rp3,04Mlyr.",Semen Padang FC,Unknown League
Ripal Wahyudi,10 Okt 2000 (25),"Rp2,17Mlyr.",Semen Padang FC,Unknown League
Ricki Ariansyah,10 Jun 1997 (28),"Rp1,74Mlyr.",Semen Padang FC,Unknown League
Alhassan Wakaso,7 Jan 1992 (34),"Rp869,08Jt.",Semen Padang FC,Unknown League
Dimas Saputra,15 Sep 1996 (29),"Rp434,54Jt.",Semen Padang FC,Unknown League
Kazaki Nakagawa,3 Jul 1995 (30),"Rp3,48Mlyr.",Semen Padang FC,Unknown League
Kianz Froese,16 Apr 1996 (29),"Rp2,61Mlyr.",Semen Padang FC,Unknown League
Maicon,16 Mar 1996 (29),"Rp4,78Mlyr.",Semen Padang FC,Unknown League
Firman Juliansyah,7 Jul 2003 (22),"Rp2,17Mlyr.",Semen Padang FC,Unknown League
Armando Oropa,31 Agt 2003 (22),"Rp1,74Mlyr.",Semen Padang FC,Unknown League
Irsyad Maulana,27 Sep 1993 (32),"Rp1,30Mlyr.",Semen Padang FC,Unknown League
Kasim Botan,14 Apr 1997 (28),"Rp1,74Mlyr.",Semen Padang FC,Unknown League
Ronaldo Kwateh,19 Okt 2004 (21),"Rp1,30Mlyr.",Semen Padang FC,Unknown League
Ferdiansyah,15 Jul 2003 (22),"Rp869,08Jt.",Semen Padang FC,Unknown League
Febrian Triyanto,11 Feb 2004 (21),"Rp434,54Jt.",Semen Padang FC,Unknown League
Guillermo Fernández,23 Mei 1993 (32),"Rp5,21Mlyr.",Semen Padang FC,Unknown League
Muhammad Ridwan,13 Jun 2000 (25),"Rp1,30Mlyr.",Semen Padang FC,Unknown League
Syaiful Asri,1 Feb 2006 (19),-,Semen Padang FC,Unknown League
Aditya Sentosa,6 Feb 2006 (19),-,Semen Padang FC,Unknown League
Rodrigo Moura,25 Jan 1996 (30),"Rp2,61Mlyr.",Persijap Jepara,Unknown League
Sendri Johansah,11 Jun 1993 (32),"Rp1,30Mlyr.",Persijap Jepara,Unknown League
Ardiansyah,28 Mar 2003 (22),"Rp869,08Jt.",Persijap Jepara,Unknown League
Sheva Sanggasi,1 Mei 2004 (21),"Rp434,54Jt.",Persijap Jepara,Unknown League
Raufa Aghastya,25 Nov 2005 (20),-,Persijap Jepara,Unknown League
Tiri,14 Jul 1991 (34),"Rp3,48Mlyr.",Persijap Jepara,Unknown League
Diogo Brito,16 Jun 1999 (26),"Rp3,04Mlyr.",Persijap Jepara,Unknown League
Akbar Arjunsyah,21 Jul 2001 (24),"Rp869,08Jt.",Persijap Jepara,Unknown League
Firman Ramadhan,7 Nov 2003 (22),"Rp869,08Jt.",Persijap Jepara,Unknown League
Buyung Ismu,8 Mei 1999 (26),"Rp869,08Jt.",Persijap Jepara,Unknown League
Rahmat Hidayat,19 Jun 2002 (23),"Rp1,74Mlyr.",Persijap Jepara,Unknown League
Aly Ndom,30 Mei 1996 (29),"Rp3,04Mlyr.",Persijap Jepara,Unknown League
Wahyudi Hamisi,28 Jul 1997 (28),"Rp2,17Mlyr.",Persijap Jepara,Unknown League
Restu Akbar,6 Mei 2003 (22),"Rp869,08Jt.",Persijap Jepara,Unknown League
Zahran Alamsah,6 Agt 2003 (22),"Rp434,54Jt.",Persijap Jepara,Unknown League
Heriansyah Yan,3 Sep 2003 (22),-,Persijap Jepara,Unknown League
Borja Martínez,8 Feb 1995 (30),"Rp4,78Mlyr.",Persijap Jepara,Unknown League
Felix Marcelino,20 Mar 2005 (20),-,Persijap Jepara,Unknown League
Borja Herrera,8 Jan 1993 (33),"Rp4,78Mlyr.",Persijap Jepara,Unknown League
Alexis Gómez,28 Feb 2000 (25),"Rp4,35Mlyr.",Persijap Jepara,Unknown League
Adzikry Fadlillah,26 Feb 2003 (22),"Rp1,30Mlyr.",Persijap Jepara,Unknown League
Iker Guarrotxena,6 Des 1992 (33),"Rp5,65Mlyr.",Persijap Jepara,Unknown League
Indra Arya,1 Jul 2003 (22),"Rp2,17Mlyr.",Persijap Jepara,Unknown League
Ardi Ardiana,22 Des 2003 (22),"Rp869,08Jt.",Persijap Jepara,Unknown League
Najeeb Yakubu,1 Mei 2000 (25),"Rp6,08Mlyr.",Persijap Jepara,Unknown League
Dicky Kurniawan,6 Jun 2002 (23),"Rp1,74Mlyr.",Persijap Jepara,Unknown League
Ambrizal Umanailo,12 Jun 1996 (29),"Rp1,30Mlyr.",Persijap Jepara,Unknown League
Rendi Saepul,21 Mei 2005 (20),"Rp869,08Jt.",Persijap Jepara,Unknown League
Prince Kallon,3 Feb 2002 (23),"Rp869,08Jt.",Persijap Jepara,Unknown League
Seva Setiadi,17 Feb 2007 (18),-,Persijap Jepara,Unknown League
Carlos França,9 Feb 1995 (30),"Rp6,95Mlyr.",Persijap Jepara,Unknown League
Abdallah Sudi,5 Jan 2000 (26),"Rp2,17Mlyr.",Persijap Jepara,Unknown League
Miswar Saputra,19 Apr 1996 (29),"Rp1,74Mlyr.",Madura United FC,Unknown League
Mochammad Diky,4 Jun 1997 (28),"Rp1,30Mlyr.",Madura United FC,Unknown League
Satrio Azhar,16 Mei 2001 (24),"Rp434,54Jt.",Madura United FC,Unknown League
Adhitya Harlan,17 Jun 1987 (38),"Rp173,82Jt.",Madura United FC,Unknown League
Rendy Razzaqu,8 Jan 2008 (18),-,Madura United FC,Unknown League
Ruxi,11 Apr 1995 (30),"Rp5,21Mlyr.",Madura United FC,Unknown League
Pedro Monteiro,30 Jan 1994 (32),"Rp4,35Mlyr.",Madura United FC,Unknown League
Ahmad Rusadi,4 Apr 2003 (22),"Rp1,74Mlyr.",Madura United FC,Unknown League
Mendonça,15 Agt 1995 (30),"Rp1,74Mlyr.",Madura United FC,Unknown League
Nurdiansyah,18 Des 1998 (27),"Rp1,30Mlyr.",Madura United FC,Unknown League
Taufik Hidayat,20 Mar 1993 (32),"Rp1,74Mlyr.",Madura United FC,Unknown League
Novan Sasongko,26 Nov 1989 (36),"Rp173,82Jt.",Madura United FC,Unknown League
Giovani Numberi,22 Apr 2000 (25),"Rp2,17Mlyr.",Madura United FC,Unknown League
Ferian Rizki,18 Jan 2003 (23),"Rp1,74Mlyr.",Madura United FC,Unknown League
Kartika Vedhayanto,25 Jan 2002 (24),"Rp869,08Jt.",Madura United FC,Unknown League
Kerim Palic,24 Jan 1997 (29),"Rp3,04Mlyr.",Madura United FC,Unknown League
Ilhamsyah,2 Jul 1999 (26),"Rp1,30Mlyr.",Madura United FC,Unknown League
Kemaluddin,28 Apr 1999 (26),"Rp869,08Jt.",Madura United FC,Unknown League
Feby Ramzy,4 Feb 2002 (23),"Rp869,08Jt.",Madura United FC,Unknown League
Jordy Wehrmann,25 Mar 1999 (26),"Rp5,65Mlyr.",Madura United FC,Unknown League
Paulo Sitanggang,17 Okt 1995 (30),"Rp2,17Mlyr.",Madura United FC,Unknown League
Iran Júnior,10 Okt 1995 (30),"Rp3,91Mlyr.",Madura United FC,Unknown League
Taufany Muslihuddin,24 Mar 2002 (23),"Rp2,17Mlyr.",Madura United FC,Unknown League
Lulinha,10 Apr 1990 (35),"Rp2,17Mlyr.",Madura United FC,Unknown League
Riski Afrisal,25 Apr 2006 (19),"Rp1,30Mlyr.",Madura United FC,Unknown League
Fransiskus Alesandro,12 Jul 2002 (23),"Rp1,30Mlyr.",Madura United FC,Unknown League
Jasey Wehrmann,3 Jul 2005 (20),-,Madura United FC,Unknown League
Ahmad Nufiandani,20 Nov 1994 (31),"Rp2,61Mlyr.",Madura United FC,Unknown League
Arsan Makarin,8 Feb 2001 (24),"Rp869,08Jt.",Madura United FC,Unknown League
Riquelme,2 Jul 2001 (24),"Rp6,08Mlyr.",Madura United FC,Unknown League
Aji Kusuma,30 Jan 1999 (27),"Rp1,74Mlyr.",Madura United FC,Unknown League
Yuda Editya Pratama,31 Mei 2004 (21),"Rp434,54Jt.",Madura United FC,Unknown League
Aldo Maulidino,22 Jul 1998 (27),"Rp434,54Jt.",Madura United FC,Unknown League
Junior Brandão,7 Jan 1995 (31),-,Madura United FC,Unknown League
Kadú,30 Nov 1994 (31),"Rp2,17Mlyr.",PSBS Biak,Unknown League
Andika Wisnu,18 Mar 1997 (28),"Rp434,54Jt.",PSBS Biak,Unknown League
Dimas Galih,23 Nov 1992 (33),"Rp434,54Jt.",PSBS Biak,Unknown League
Juan Madjar,9 Jan 2004 (22),-,PSBS Biak,Unknown League
Sandro Embaló,1 Mei 1996 (29),"Rp3,48Mlyr.",PSBS Biak,Unknown League
Myung-hyun Hwang,14 Nov 2001 (24),"Rp1,74Mlyr.",PSBS Biak,Unknown League
Nurhidayat,5 Apr 1999 (26),"Rp1,74Mlyr.",PSBS Biak,Unknown League
Arif Budiyono,26 Feb 1993 (32),"Rp869,08Jt.",PSBS Biak,Unknown League
Hadi Ardiansyah,1 Des 2000 (25),"Rp434,54Jt.",PSBS Biak,Unknown League
Iqbal Hadi,22 Feb 2001 (24),"Rp434,54Jt.",PSBS Biak,Unknown League
Pablo Andrade,15 Feb 1994 (31),"Rp2,61Mlyr.",PSBS Biak,Unknown League
Urbanus Lasol,9 Mar 2004 (21),"Rp869,08Jt.",PSBS Biak,Unknown League
Moses Madjar,14 Apr 2005 (20),"Rp434,54Jt.",PSBS Biak,Unknown League
Patrias Rumere,9 Feb 1988 (37),-,PSBS Biak,Unknown League
Ians Rumbewas,22 Feb 2006 (19),-,PSBS Biak,Unknown League
Lucky Oktavianto,5 Okt 1993 (32),"Rp1,30Mlyr.",PSBS Biak,Unknown League
George Brown,4 Jun 1999 (26),"Rp1,30Mlyr.",PSBS Biak,Unknown League
Claudio Olivera,28 Okt 2006 (19),-,PSBS Biak,Unknown League
Kevin Lopez,27 Sep 2000 (25),"Rp1,74Mlyr.",PSBS Biak,Unknown League
Arjuna Agung,24 Jun 2003 (22),"Rp1,30Mlyr.",PSBS Biak,Unknown League
Nelson Alom,27 Okt 1991 (34),"Rp434,54Jt.",PSBS Biak,Unknown League
Eduardo Barbosa,18 Jan 2003 (23),"Rp2,61Mlyr.",PSBS Biak,Unknown League
Yano Putra,26 Sep 2003 (22),"Rp1,74Mlyr.",PSBS Biak,Unknown League
Luquinhas,22 Apr 1997 (28),"Rp3,48Mlyr.",PSBS Biak,Unknown League
Heri Susanto,15 Jul 1994 (31),"Rp1,30Mlyr.",PSBS Biak,Unknown League
Muhammad Isa,4 Sep 1994 (31),"Rp869,08Jt.",PSBS Biak,Unknown League
Ilham Armaiyn,10 Mei 1996 (29),"Rp869,08Jt.",PSBS Biak,Unknown League
Alfan Tri,12 Feb 2005 (20),-,PSBS Biak,Unknown League
Raja Siregar,7 Jul 2004 (21),"Rp869,08Jt.",PSBS Biak,Unknown League
Ruyery Blanco,7 Des 1998 (27),"Rp4,35Mlyr.",PSBS Biak,Unknown League
Mohcine Hassan,30 Sep 1994 (31),"Rp1,74Mlyr.",PSBS Biak,Unknown League
Tobias Solossa,31 Agt 2006 (19),"Rp434,54Jt.",PSBS Biak,Unknown League
Samuel Gwijangge,5 Nov 2001 (24),"Rp434,54Jt.",PSBS Biak,Unknown League
